Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60RD000110",35,48.57,45.71,5.71,-,-,20
"60RD000111",35,40.00,40.00,17.14,-,2.86,30
"60RD000112",52,44.23,42.31,9.62,3.85,-,38
"60RD000113",59,44.07,45.76,6.78,3.39,-,41
"60RD000114",42,57.14,26.19,14.29,-,2.38,27
"60RD000115",54,48.15,38.89,9.26,3.70,-,37
"60RD000116",54,38.89,44.44,12.96,3.70,-,44
"60RD000117",42,45.24,42.86,11.90,-,-,28
"60RD000118",54,27.78,53.70,16.67,1.85,-,50
"60RD000119",70,35.71,40.00,21.43,2.86,-,64
"60RD000120",71,19.72,43.66,32.39,2.82,1.41,87
"60RD000121",40,30.00,57.50,10.00,2.50,-,34
"60RD000122",76,22.37,35.53,36.84,5.26,-,95
"60RD000123",40,5.00,52.50,32.50,7.50,2.50,61
"60RD000124",27,22.22,44.44,25.93,3.70,3.70,33
"60RD000125",32,18.75,59.38,12.50,3.13,6.25,39
"60RD000126",26,42.31,30.77,26.92,-,-,22
"60RD000127",42,59.52,30.95,9.52,-,-,21
"60RD000128",35,25.71,60.00,14.29,-,-,31
"60RD000129",50,8.00,38.00,46.00,6.00,2.00,78
"60RD000130",36,30.56,50.00,16.67,-,2.78,34
"60RD000131",47,36.17,46.81,14.89,2.13,-,39
"60RD000132",34,35.29,50.00,11.76,-,2.94,29
"60RD000133",46,4.35,32.61,52.17,8.70,2.17,79
"60RD000134",57,17.54,49.12,28.07,3.51,1.75,76
"60RD000135",59,23.73,38.98,28.81,6.78,1.69,73
"60RD000136",27,22.22,55.56,18.52,3.70,-,28
"60RD000137",24,16.67,33.33,29.17,20.83,-,37
"60RD000138",32,21.88,31.25,37.50,9.38,-,43
"60RD000139",33,21.21,42.42,30.30,3.03,3.03,41
"60RD000140",58,18.97,51.72,24.14,3.45,1.72,68
"60RD000141",30,6.67,36.67,26.67,30.00,-,54
"60RD000142",75,2.67,42.67,50.67,2.67,1.33,118
"60RD000143",40,2.50,17.50,62.50,10.00,7.50,87
"60RD000144",37,13.51,56.76,27.03,2.70,-,44
"60RD000145",56,3.57,46.43,37.50,10.71,1.79,90
"60RD000146",63,6.35,52.38,31.75,4.76,4.76,94
"60RD000147",32,3.13,46.88,43.75,3.13,3.13,50
"60RD000148",81,11.11,59.26,24.69,3.70,1.23,102
"60RD000149",82,26.83,46.34,20.73,4.88,1.22,89
"60RD000150",102,22.55,47.06,24.51,5.88,-,116
"60RD000151",38,10.53,57.89,23.68,5.26,2.63,50
"60RD000152",55,5.45,36.36,32.73,18.18,7.27,103
"60RD000153",44,20.45,54.55,25.00,-,-,46
"60RD000154",40,7.50,37.50,50.00,5.00,-,61
"60RD000155",45,8.89,44.44,37.78,4.44,4.44,69
"60RD000156",51,25.49,50.98,19.61,3.92,-,52
"60RD000157",80,18.75,55.00,22.50,3.75,-,89
"60RD000158",33,30.30,48.48,21.21,-,-,30
"60RD000159",82,10.98,45.12,31.71,9.76,2.44,121
"60RD000160",43,6.98,53.49,37.21,2.33,-,58
"60RD000161",45,11.11,42.22,40.00,4.44,2.22,65
"60RD000162",35,11.43,34.29,40.00,14.29,-,55
"60RD000163",65,16.92,52.31,24.62,4.62,1.54,80
"60RD000164",21,14.29,57.14,9.52,9.52,9.52,31
"60RD000165",63,23.81,36.51,34.92,3.17,1.59,77
"60RD000166",46,52.17,28.26,19.57,-,-,31
"60RD000167",39,5.13,48.72,30.77,10.26,5.13,64
"60RD000168",26,50.00,38.46,3.85,7.69,-,18
"60RD000169",68,39.71,36.76,20.59,2.94,-,59
"60RD000170",52,23.08,53.85,17.31,1.92,3.85,57
"60RD000171",43,48.84,34.88,16.28,-,-,29
"60RD000172",71,39.44,45.07,15.49,-,-,54
"60RD000173",20,10.00,60.00,30.00,-,-,24
"60RD000174",36,33.33,44.44,19.44,2.78,-,33
"60RD000175",46,15.22,56.52,26.09,2.17,-,53
"60RD000176",46,32.61,52.17,10.87,4.35,-,40
"60RD000177",33,15.15,63.64,18.18,3.03,-,36
"60RD000178",42,33.33,57.14,9.52,-,-,32
"60RD000179",55,21.82,56.36,21.82,-,-,55
"60RD000180",105,14.29,41.90,32.38,6.67,4.76,153
"SOUTH AYRSHIRE",48748,29.20,45.60,21.18,3.15,0.87,49427
"60RE000001",35,5.71,17.14,57.14,20.00,-,67
"60RE000002",62,1.61,37.10,43.55,14.52,3.23,114
"60RE000003",64,6.25,28.13,51.56,14.06,-,111
"60RE000004",50,10.00,40.00,34.00,14.00,2.00,79
"60RE000005",32,15.63,21.88,46.88,15.63,-,52
"60RE000006",42,9.52,35.71,42.86,7.14,4.76,69
"60RE000007",36,8.33,41.67,33.33,11.11,5.56,59
"60RE000008",44,6.82,43.18,36.36,9.09,4.55,73
"60RE000009",44,13.64,40.91,36.36,6.82,2.27,67
"60RE000010",73,12.33,57.53,23.29,5.48,1.37,98
"60RE000011",33,15.15,60.61,21.21,-,3.03,39
"60RE000012",56,21.43,50.00,16.07,7.14,5.36,71
"60RE000013",61,8.20,36.07,47.54,4.92,3.28,97
"60RE000014",60,18.33,46.67,26.67,5.00,3.33,77
"60RE000015",56,3.57,50.00,37.50,8.93,-,85
"60RE000016",21,-,71.43,28.57,-,-,27
"60RE000017",33,6.06,51.52,30.30,12.12,-,49
"60RE000018",39,2.56,41.03,25.64,25.64,5.13,74
"60RE000019",30,10.00,26.67,50.00,6.67,6.67,52
"60RE000020",53,1.89,37.74,39.62,20.75,-,95
"60RE000021",49,4.08,44.90,36.73,8.16,6.12,82
"60RE000022",22,13.64,36.36,40.91,9.09,-,32
"60RE000023",42,4.76,35.71,47.62,11.90,-,70
"60RE000024",26,-,34.62,50.00,11.54,3.85,50
"60RE000025",28,3.57,39.29,42.86,14.29,-,47
"60RE000026",29,3.45,24.14,41.38,24.14,6.90,60
"60RE000027",34,14.71,50.00,35.29,-,-,41
"60RE000028",49,10.20,48.98,36.73,-,4.08,70
"60RE000029",60,8.33,41.67,33.33,11.67,5.00,99
"60RE000030",40,2.50,45.00,37.50,10.00,5.00,71
"60RE000031",71,12.68,39.44,33.80,9.86,4.23,111
"60RE000032",33,6.06,36.36,48.48,9.09,-,53
"60RE000033",42,4.76,35.71,40.48,16.67,2.38,74
"60RE000034",58,6.90,36.21,43.10,13.79,-,95
"60RE000035",26,7.69,38.46,30.77,19.23,3.85,47
"60RE000036",60,3.33,46.67,35.00,8.33,6.67,102
"60RE000037",48,35.42,50.00,14.58,-,-,38
"60RE000038",43,27.91,39.53,23.26,6.98,2.33,51
"60RE000039",52,9.62,53.85,25.00,3.85,7.69,77
"60RE000040",26,-,34.62,46.15,19.23,-,48
"60RE000041",46,36.96,36.96,26.09,-,-,41
"60RE000042",42,42.86,40.48,14.29,2.38,-,32
"60RE000043",58,15.52,41.38,24.14,12.07,6.90,90
"60RE000044",59,28.81,50.85,16.95,1.69,1.69,58
"60RE000045",44,15.91,43.18,27.27,9.09,4.55,65
"60RE000046",24,16.67,41.67,29.17,12.50,-,33
"60RE000047",37,8.11,43.24,45.95,2.70,-,53
"60RE000048",41,12.20,53.66,14.63,12.20,7.32,63
"60RE000049",20,15.00,40.00,45.00,-,-,26
"60RE000050",44,11.36,43.18,34.09,4.55,6.82,69
"60RE000051",49,14.29,51.02,28.57,6.12,-,62
"60RE000052",32,3.13,56.25,21.88,9.38,9.38,53
"60RE000053",67,7.46,49.25,37.31,1.49,4.48,102
"60RE000054",46,4.35,43.48,39.13,13.04,-,74
"60RE000055",48,4.17,43.75,35.42,12.50,4.17,82
"60RE000056",34,14.71,52.94,32.35,-,-,40
"60RE000057",55,21.82,40.00,30.91,3.64,3.64,70
"60RE000058",61,13.11,54.10,24.59,6.56,1.64,79
"60RE000059",55,10.91,45.45,25.45,12.73,5.45,86
"60RE000060",54,42.59,38.89,12.96,5.56,-,44
"60RE000061",47,44.68,40.43,12.77,2.13,-,34
"60RE000062",44,13.64,59.09,20.45,4.55,2.27,60
"60RE000063",39,35.90,46.15,15.38,2.56,-,33
"60RE000064",52,11.54,53.85,28.85,3.85,1.92,74
"60RE000065",66,68.18,27.27,4.55,-,-,24
"60RE000066",41,7.32,60.98,24.39,2.44,4.88,56
"60RE000067",47,46.81,48.94,4.26,-,-,27
"60RE000068",38,65.79,31.58,2.63,-,-,14
"60RE000069",55,34.55,60.00,5.45,-,-,39
"60RE000070",55,69.09,25.45,3.64,1.82,-,21
"60RE000071",72,19.44,51.39,29.17,-,-,79
"60RE000072",77,29.87,46.75,15.58,6.49,1.30,79
"60RE000073",51,37.25,47.06,15.69,-,-,40
"60RE000074",71,25.35,59.15,12.68,2.82,-,66
"60RE000075",41,17.07,63.41,17.07,-,2.44,44
"60RE000076",31,16.13,61.29,19.35,3.23,-,34
"60RE000077",31,48.39,45.16,6.45,-,-,18
"60RE000078",63,49.21,38.10,6.35,3.17,3.17,49
"60RE000079",61,37.70,37.70,21.31,1.64,1.64,56
"60RE000080",58,10.34,58.62,25.86,5.17,-,73
"60RE000081",53,54.72,37.74,3.77,1.89,1.89,33
"60RE000082",44,22.73,61.36,15.91,-,-,41
"60RE000083",29,31.03,58.62,10.34,-,-,23
"60RE000084",34,23.53,64.71,8.82,2.94,-,31
"60RE000085",52,21.15,48.08,26.92,1.92,1.92,60
"60RE000086",61,42.62,42.62,13.11,1.64,-,45
"60RE000087",48,43.75,39.58,14.58,2.08,-,36
"60RE000088",56,30.36,57.14,10.71,1.79,-,47
"60RE000089",40,25.00,60.00,15.00,-,-,36
"60RE000090",72,41.67,44.44,11.11,2.78,-,54
"60RE000091",64,31.25,54.69,10.94,3.13,-,55
"60RE000092",75,46.67,41.33,8.00,2.67,1.33,53
"60RE000093",75,45.33,48.00,5.33,1.33,-,47
"60RE000094",52,67.31,26.92,3.85,1.92,-,21
"60RE000095",48,77.08,22.92,-,-,-,11
"60RE000096",40,37.50,57.50,5.00,-,-,27
"60RE000097",64,54.69,37.50,7.81,-,-,34
"60RE000098",42,23.81,61.90,9.52,4.76,-,40
"60RE000099",73,34.25,43.84,17.81,2.74,1.37,68
"60RE000100",69,56.52,39.13,4.35,-,-,33
"60RE000101",73,35.62,54.79,8.22,-,1.37,57
"60RE000102",56,51.79,35.71,10.71,1.79,-,35
"60RE000103",43,44.19,46.51,9.30,-,-,28
"60RE000104",42,40.48,57.14,2.38,-,-,26
"60RE000105",51,33.33,50.98,15.69,-,-,42
"60RE000106",52,65.38,28.85,1.92,3.85,-,23
"60RE000107",41,53.66,36.59,9.76,-,-,23
"60RE000108",46,39.13,39.13,21.74,-,-,38
"60RE000109",34,67.65,26.47,5.88,-,-,13
"60RE000110",72,72.22,26.39,1.39,-,-,21
"60RE000111",63,50.79,31.75,15.87,1.59,-,43
"60RE000112",78,39.74,46.15,6.41,6.41,1.28,65
"60RE000113",34,35.29,52.94,11.76,-,-,26
"60RE000114",78,38.46,48.72,12.82,-,-,58
"60RE000115",52,57.69,38.46,1.92,1.92,-,25
"60RE000116",77,29.87,42.86,24.68,2.60,-,77
"60RE000117",41,48.78,39.02,9.76,2.44,-,27
"60RE000118",69,49.28,40.58,8.70,1.45,-,43
"60RE000119",61,37.70,52.46,6.56,3.28,-,46
"60RE000120",52,40.38,42.31,15.38,-,1.92,42
"60RE000121",43,34.88,62.79,2.33,-,-,29
"60RE000122",39,28.21,56.41,15.38,-,-,34
"60RE000123",55,18.18,58.18,18.18,3.64,1.82,66
"60RE000124",55,40.00,43.64,10.91,5.45,-,45
"60RE000125",46,52.17,34.78,13.04,-,-,28
"60RE000126",26,19.23,50.00,26.92,-,3.85,31
"60RE000127",75,49.33,36.00,13.33,1.33,-,50
"60RE000128",38,60.53,34.21,5.26,-,-,17
"60RE000129",74,41.89,45.95,10.81,1.35,-,53
"60RE000130",54,66.67,25.93,7.41,-,-,22
"60RE000131",50,52.00,34.00,14.00,-,-,31
"60RE000132",42,35.71,45.24,16.67,2.38,-,36
"60RE000133",44,22.73,45.45,22.73,9.09,-,52
"60RE000134",41,43.90,51.22,4.88,-,-,25
"60RE000135",41,24.39,53.66,21.95,-,-,40
"60RE000136",23,17.39,52.17,17.39,13.04,-,29
"60RE000137",67,34.33,43.28,14.93,7.46,-,64
"60RE000138",64,20.31,48.44,25.00,4.69,1.56,77
"60RE000139",57,52.63,35.09,12.28,-,-,34
"60RE000140",46,4.35,43.48,41.30,4.35,6.52,77
"60RE000141",79,48.10,43.04,6.33,1.27,1.27,51
"60RE000142",76,36.84,52.63,6.58,3.95,-,59
"60RE000143",60,5.00,53.33,38.33,1.67,1.67,85
"60RE000144",27,33.33,62.96,3.70,-,-,19
"60RE000145",42,11.90,40.48,47.62,-,-,57
"60RE000146",62,11.29,41.94,38.71,8.06,-,89
"60RE000147",38,5.26,18.42,63.16,10.53,2.63,71
"60RE000148",57,24.56,49.12,21.05,5.26,-,61
"60RE000149",57,15.79,61.40,19.30,1.75,1.75,64
"60RE000150",46,54.35,39.13,6.52,-,-,24
"60RE000151",45,57.78,35.56,4.44,-,2.22,24
"60RE000152",51,62.75,31.37,5.88,-,-,22
"60RE000153",66,54.55,40.91,4.55,-,-,33
"60RE000154",58,39.66,37.93,18.97,3.45,-,50
"60RE000155",35,71.43,28.57,-,-,-,10
"60RE000156",45,64.44,31.11,2.22,2.22,-,19
"60RE000157",96,72.92,22.92,3.13,1.04,-,31
"60RE000158",48,79.17,18.75,-,2.08,-,12
"60RE000159",52,59.62,34.62,5.77,-,-,24
"60RE000160",43,55.81,37.21,6.98,-,-,22
"60RE000161",39,7.69,41.03,43.59,7.69,-,59
"60RE000162",68,4.41,27.94,57.35,10.29,-,118
"60RE000163",63,3.17,42.86,46.03,6.35,1.59,102
"60RE000164",49,16.33,38.78,34.69,10.20,-,68
"60RE000165",43,13.95,51.16,30.23,4.65,-,54
"60RE000166",44,13.64,56.82,29.55,-,-,51
"60RE000167",66,28.79,36.36,30.30,4.55,-,73
"60RE000168",58,15.52,46.55,31.03,5.17,1.72,76
"60RE000169",39,5.13,43.59,41.03,5.13,5.13,69
"60RE000170",64,7.81,42.19,43.75,6.25,-,95
"60RE000171",46,45.65,36.96,15.22,2.17,-,34
"60RE000172",49,10.20,51.02,32.65,4.08,2.04,67
"60RE000173",62,20.97,53.23,25.81,-,-,65
"60RE000174",54,16.67,46.30,31.48,5.56,-,68
"60RE000175",70,22.86,55.71,15.71,2.86,2.86,76
"60RE000176",41,19.51,41.46,26.83,9.76,2.44,55
"60RE000177",46,17.39,56.52,23.91,2.17,-,51
"60RE000178",35,20.00,54.29,22.86,-,2.86,41
"60RE000179",42,21.43,40.48,35.71,2.38,-,50
"60RE000180",59,13.56,49.15,35.59,1.69,-,74
"60RE000181",39,10.26,43.59,43.59,2.56,-,54
"60RE000182",60,18.33,40.00,35.00,5.00,1.67,79
"60RE000183",56,14.29,62.50,19.64,1.79,1.79,64
"60RE000184",62,4.84,40.32,46.77,6.45,1.61,99
"60RE000185",41,9.76,70.73,17.07,2.44,-,46
"60RE000186",66,30.30,48.48,19.70,1.52,-,61
"60RE000187",48,29.17,58.33,12.50,-,-,40
"60RE000188",42,30.95,42.86,21.43,4.76,-,42
"60RE000189",50,18.00,50.00,26.00,2.00,4.00,63
"60RE000190",43,34.88,37.21,25.58,2.33,-,41
"60RE000191",55,30.91,49.09,16.36,1.82,1.82,52
"60RE000192",50,18.00,54.00,20.00,6.00,2.00,60
"60RE000193",46,13.04,63.04,21.74,2.17,-,52
"60RE000194",61,31.15,47.54,21.31,-,-,55
"60RE000195",49,10.20,48.98,34.69,2.04,4.08,69
"60RE000196",51,37.25,43.14,13.73,5.88,-,45
"60RE000197",44,20.45,47.73,31.82,-,-,49
"60RE000198",40,12.50,40.00,40.00,5.00,2.50,58
"60RE000199",74,31.08,52.70,13.51,1.35,1.35,66
"60RE000200",61,24.59,49.18,24.59,1.64,-,63
"60RE000201",74,41.89,44.59,9.46,2.70,1.35,57
"60RE000202",62,32.26,61.29,4.84,-,1.61,48
"60RE000203",55,32.73,52.73,14.55,-,-,45
"60RE000204",46,41.30,50.00,8.70,-,-,31
"60RE000205",42,38.10,47.62,11.90,2.38,-,33
"60RE000206",55,41.82,45.45,12.73,-,-,39
"60RE000207",71,59.15,38.03,1.41,-,1.41,33
"60RE000208",67,34.33,46.27,16.42,2.99,-,59
"60RE000209",65,43.08,43.08,12.31,1.54,-,47
"60RE000210",54,50.00,38.89,11.11,-,-,33
"60RE000211",63,42.86,50.79,3.17,3.17,-,42
"60RE000212",75,40.00,48.00,9.33,2.67,-,56
"60RE000213",55,34.55,52.73,10.91,-,1.82,45
"60RE000214",56,28.57,53.57,17.86,-,-,50
"60RE000215",35,48.57,34.29,17.14,-,-,24
"60RE000216",47,42.55,48.94,8.51,-,-,31
"60RE000217",52,46.15,42.31,11.54,-,-,34
"60RE000218",53,50.94,43.40,5.66,-,-,29
"60RE000219",51,43.14,41.18,15.69,-,-,37
"60RE000220",40,-,42.50,47.50,5.00,5.00,70
"60RE000221",44,29.55,54.55,15.91,-,-,38
"60RE000222",32,15.63,62.50,21.88,-,-,34
"60RE000223",39,35.90,51.28,10.26,2.56,-,31
"60RE000224",67,25.37,67.16,7.46,-,-,55
"60RE000225",42,30.95,54.76,11.90,2.38,-,36
"60RE000226",44,25.00,63.64,9.09,2.27,-,39
"60RE000227",70,17.14,44.29,34.29,1.43,2.86,95
"60RE000228",67,11.94,53.73,26.87,7.46,-,87
"60RE000229",66,1.52,40.91,53.03,4.55,-,106
"60RE000230",68,13.24,57.35,29.41,-,-,79
"60RE000231",66,4.55,50.00,39.39,4.55,1.52,98
"60RE000232",78,5.13,50.00,39.74,3.85,1.28,114
"60RE000233",59,11.86,62.71,25.42,-,-,67
"60RE000234",56,3.57,60.71,30.36,3.57,1.79,78
"60RE000235",45,6.67,62.22,26.67,4.44,-,58
"60RE000236",43,6.98,34.88,48.84,9.30,-,69
"60RE000237",41,4.88,63.41,26.83,4.88,-,54
"60RE000238",48,41.67,43.75,14.58,-,-,35
"60RE000239",54,31.48,42.59,24.07,1.85,-,52
"60RE000240",45,31.11,57.78,11.11,-,-,36
"60RE000241",57,17.54,54.39,22.81,3.51,1.75,67
"60RE000242",44,31.82,61.36,6.82,-,-,33
"60RE000243",48,33.33,60.42,6.25,-,-,35
"60RE000244",63,41.27,41.27,15.87,1.59,-,49
"60RE000245",66,36.36,51.52,12.12,-,-,50
"60RE000246",44,29.55,50.00,15.91,2.27,2.27,43
"60RE000247",50,42.00,44.00,14.00,-,-,36
"60RE000248",48,33.33,58.33,6.25,2.08,-,37
"60RE000249",40,40.00,47.50,7.50,5.00,-,31
"60RE000250",46,43.48,41.30,15.22,-,-,33
"60RE000251",60,33.33,48.33,15.00,3.33,-,53
"60RE000252",46,43.48,43.48,10.87,-,2.17,34
"60RE000253",58,50.00,37.93,10.34,-,1.72,38
"60RE000254",56,64.29,32.14,3.57,-,-,22
"60RE000255",54,38.89,44.44,12.96,3.70,-,44
"60RE000256",43,16.28,53.49,27.91,2.33,-,50
"60RE000257",41,36.59,48.78,12.20,-,2.44,34
"60RE000258",41,24.39,58.54,12.20,4.88,-,40
"60RE000259",56,19.64,66.07,14.29,-,-,53
"60RE000260",50,32.00,56.00,12.00,-,-,40
"60RE000261",44,22.73,47.73,25.00,4.55,-,49
"60RE000262",38,5.26,84.21,7.89,2.63,-,41
"60RE000263",36,8.33,44.44,41.67,2.78,2.78,53
"60RE000264",62,8.06,59.68,25.81,4.84,1.61,82
"60RE000265",58,13.79,50.00,32.76,1.72,1.72,74
"60RE000266",42,9.52,38.10,42.86,9.52,-,64
"60RE000267",60,1.67,45.00,43.33,8.33,1.67,99
"60RE000268",65,6.15,29.23,47.69,15.38,1.54,115
"60RE000269",52,1.92,36.54,55.77,3.85,1.92,87
"60RE000270",54,14.81,40.74,37.04,3.70,3.70,77
"60RE000271",47,2.13,44.68,46.81,6.38,-,74
"60RE000272",62,9.68,24.19,54.84,4.84,6.45,108
"60RE000273",70,4.29,55.71,31.43,7.14,1.43,102
"60RE000274",58,1.72,29.31,60.34,8.62,-,102
"60RE000275",50,6.00,42.00,42.00,4.00,6.00,81
"60RE000276",59,3.39,42.37,47.46,6.78,-,93
"60RE000277",58,8.62,55.17,29.31,5.17,1.72,79
"60RE000278",61,6.56,47.54,40.98,4.92,-,88
"60RE000279",43,-,41.86,51.16,6.98,-,71
"60RE000280",49,4.08,36.73,51.02,8.16,-,80
"60RE000281",55,3.64,45.45,43.64,7.27,-,85
"60RE000282",48,14.58,54.17,27.08,4.17,-,58
"60RE000283",55,9.09,45.45,41.82,1.82,1.82,80
"60RE000284",48,14.58,62.50,22.92,-,-,52
"60RE000285",46,8.70,43.48,43.48,2.17,2.17,67
"60RE000286",53,5.66,54.72,33.96,3.77,1.89,75
"60RE000287",58,5.17,55.17,37.93,-,1.72,80
"60RE000288",39,12.82,46.15,33.33,7.69,-,53
"60RE000289",45,11.11,53.33,33.33,2.22,-,57
"60RE000290",55,14.55,58.18,25.45,-,1.82,64
"60RE000291",52,19.23,48.08,28.85,3.85,-,61
"60RE000292",52,3.85,36.54,51.92,5.77,1.92,87
"60RE000293",37,-,56.76,37.84,2.70,2.70,56
"60RE000294",62,9.68,40.32,41.94,4.84,3.23,94
"60RE000295",48,2.08,47.92,43.75,4.17,2.08,76
"60RE000296",53,3.77,47.17,37.74,9.43,1.89,90
"60RE000297",49,4.08,51.02,38.78,6.12,-,72
"60RE000298",52,9.62,32.69,36.54,17.31,3.85,90
"60RE000299",40,15.00,37.50,32.50,12.50,2.50,60
"60RE000300",43,20.93,46.51,20.93,6.98,4.65,61
"60RE000301",39,2.56,51.28,35.90,5.13,5.13,62
"60RE000302",52,13.46,51.92,30.77,3.85,-,65
"60RE000303",78,7.69,34.62,46.15,10.26,1.28,127
"60RE000304",45,17.78,64.44,15.56,2.22,-,46
"60RE000305",48,8.33,41.67,47.92,2.08,-,69
"60RE000306",34,8.82,35.29,47.06,8.82,-,53
"60RE000307",63,3.17,26.98,60.32,6.35,3.17,115
"60RE000308",43,2.33,39.53,51.16,6.98,-,70
"60RE000309",44,2.27,70.45,20.45,4.55,2.27,59
"60RE000310",50,12.00,50.00,34.00,4.00,-,65
"60RE000311",42,7.14,35.71,52.38,2.38,2.38,66
"60RE000312",50,18.00,56.00,20.00,6.00,-,57
"60RE000313",38,15.79,55.26,28.95,-,-,43
"60RE000314",42,9.52,69.05,19.05,-,2.38,50
"60RE000315",51,50.98,35.29,13.73,-,-,32
"60RE000316",54,70.37,24.07,5.56,-,-,19
"60RE000317",57,52.63,45.61,1.75,-,-,28
"60RE000318",54,51.85,44.44,3.70,-,-,28
"60RE000319",44,40.91,47.73,9.09,2.27,-,32
"60RE000320",70,75.71,20.00,4.29,-,-,20
"60RE000321",57,80.70,17.54,1.75,-,-,12
"60RE000322",55,47.27,43.64,9.09,-,-,34
"60RE000323",50,66.00,32.00,2.00,-,-,18
"60RE000324",47,68.09,31.91,-,-,-,15
"60RE000325",41,65.85,26.83,7.32,-,-,17
"60RE000326",38,60.53,34.21,5.26,-,-,17
"60RE000327",52,73.08,23.08,3.85,-,-,16
"60RE000328",47,78.72,21.28,-,-,-,10
"60RE000329",54,68.52,29.63,1.85,-,-,18
"60RE000330",53,30.19,56.60,7.55,3.77,1.89,48
"60RE000331",33,39.39,27.27,24.24,6.06,3.03,35
"60RE000332",40,20.00,55.00,25.00,-,-,42
"60RE000333",61,21.31,54.10,22.95,1.64,-,64
"60RE000334",64,14.06,54.69,26.56,4.69,-,78
"60RE000335",48,12.50,64.58,20.83,2.08,-,54
"60RE000336",53,33.96,35.85,22.64,7.55,-,55
"60RE000337",45,26.67,53.33,17.78,2.22,-,43
"60RE000338",36,13.89,44.44,41.67,-,-,46
"60RE000339",52,51.92,46.15,1.92,-,-,26
"60RE000340",46,34.78,56.52,8.70,-,-,34
"60RE000341",53,26.42,58.49,13.21,1.89,-,48
"60RE000342",42,30.95,57.14,11.90,-,-,34
"60RE000343",64,45.31,37.50,15.63,-,1.56,48
"60RE000344",35,25.71,48.57,22.86,2.86,-,36
"60RE000345",72,43.06,44.44,9.72,-,2.78,54
"60RE000346",28,46.43,35.71,17.86,-,-,20
"60RE000347",57,50.88,33.33,15.79,-,-,37
"60RE000348",40,65.00,25.00,10.00,-,-,18
"60RE000349",52,53.85,36.54,9.62,-,-,29
"60RE000350",62,61.29,30.65,6.45,1.61,-,30
"60RE000351",75,64.00,30.67,4.00,-,1.33,33
"60RE000352",71,63.38,35.21,1.41,-,-,27
"60RE000353",71,57.75,38.03,4.23,-,-,33
"60RE000354",36,77.78,19.44,2.78,-,-,9
"60RE000355",47,57.45,34.04,8.51,-,-,24
"60RE000356",41,48.78,43.90,7.32,-,-,24
"60RE000357",61,63.93,31.15,4.92,-,-,25
"60RE000358",65,61.54,33.85,4.62,-,-,28
"60RE000359",35,65.71,31.43,2.86,-,-,13
"60RE000360",39,64.10,33.33,-,-,2.56,19
"60RE000361",54,66.67,29.63,1.85,1.85,-,21
"60RE000362",38,47.37,39.47,10.53,2.63,-,26
"60RE000363",41,80.49,14.63,4.88,-,-,10
"60RE000364",59,28.81,57.63,13.56,-,-,50
"60RE000365",64,37.50,51.56,7.81,3.13,-,49
"60RE000366",52,36.54,48.08,15.38,-,-,41
"60RE000367",78,65.38,32.05,2.56,-,-,29
"60RE000368",74,58.11,35.14,6.76,-,-,36
"60RE000369",61,77.05,18.03,4.92,-,-,17
"60RE000370",39,64.10,35.90,-,-,-,14
"60RE000371",55,54.55,41.82,3.64,-,-,27
"60RE000372",79,5.06,53.16,37.97,1.27,2.53,113
"60RE000373",67,14.93,58.21,25.37,-,1.49,77
"60RE000374",39,74.36,23.08,2.56,-,-,11
"60RE000375",74,27.03,44.59,22.97,4.05,1.35,81
"60RE000376",72,27.78,48.61,20.83,2.78,-,71
"60RE000377",44,11.36,50.00,29.55,9.09,-,60
"60RE000378",51,29.41,52.94,17.65,-,-,45
"60RE000379",47,12.77,55.32,29.79,2.13,-,57
"60RE000380",48,35.42,47.92,12.50,2.08,2.08,42
"60RE000381",47,29.79,55.32,12.77,2.13,-,41
"60RE000382",43,53.49,41.86,4.65,-,-,22
"60RE000383",46,58.70,36.96,4.35,-,-,21
"60RE000384",46,45.65,36.96,15.22,-,2.17,35
"60RE000385",59,35.59,57.63,6.78,-,-,42
"60RE000386",39,30.77,46.15,20.51,2.56,-,37
"60RE000387",43,9.30,58.14,30.23,2.33,-,54
"60RE000388",41,24.39,43.90,29.27,2.44,-,45
"60RE000389",39,46.15,41.03,12.82,-,-,26
"60RE000390",47,65.96,21.28,10.64,2.13,-,23
"60RE000391",40,57.50,40.00,2.50,-,-,18
"60RE000392",36,25.00,66.67,8.33,-,-,30
"60RE000393",45,46.67,51.11,2.22,-,-,25
"60RE000394",61,52.46,44.26,3.28,-,-,31
"60RE000395",49,22.45,51.02,26.53,-,-,51
"60RE000396",47,4.26,63.83,29.79,2.13,-,61
"60RE000397",76,11.84,48.68,35.53,1.32,2.63,102
"60RE000398",48,-,66.67,31.25,2.08,-,65
"60RE000399",45,64.44,33.33,2.22,-,-,17
"60RE000400",71,80.28,19.72,-,-,-,14
"60RE000401",72,83.33,16.67,-,-,-,12
"60RE000402",76,59.21,36.84,2.63,1.32,-,35
"60RE000403",50,76.00,22.00,2.00,-,-,13
"60RE000404",34,70.59,26.47,2.94,-,-,11
"60RE000405",72,66.67,31.94,1.39,-,-,25
"60RE000406",56,67.86,28.57,3.57,-,-,20
"60RE000407",50,56.00,32.00,12.00,-,-,28
