Table KS17 Cars or Vans*
Table population: All households
Geographical level: Output Area 

,"All households","Percentage of households with cars or vans None","Percentage of households with cars or vans One","Percentage of households with cars or vans Two","Percentage of households with cars or vans Three","Percentage of households with cars or vans Four or more","Total number of cars or vans in the area"
"60QA000399",41,4.88,58.54,36.59,-,-,54
"60QA000400",77,7.79,50.65,41.56,-,-,103
"60QA000401",64,7.81,51.56,35.94,4.69,-,88
"60QA000402",46,2.17,45.65,45.65,4.35,2.17,73
"60QA000403",60,20.00,46.67,26.67,6.67,-,72
"60QA000404",50,8.00,40.00,42.00,8.00,2.00,78
"60QA000405",48,6.25,43.75,41.67,6.25,2.08,74
"60QA000406",44,20.45,45.45,22.73,2.27,9.09,59
"60QA000407",73,4.11,21.92,56.16,10.96,6.85,143
"60QA000408",67,4.48,47.76,34.33,11.94,1.49,106
"60QA000409",79,17.72,44.30,29.11,6.33,2.53,104
"60QA000410",46,8.70,52.17,34.78,-,4.35,64
"60QA000411",42,35.71,50.00,14.29,-,-,33
"60QA000412",70,67.14,30.00,2.86,-,-,25
"60QA000413",42,45.24,54.76,-,-,-,23
"60QA000414",45,57.78,37.78,4.44,-,-,21
"60QA000415",45,60.00,37.78,2.22,-,-,19
"60QA000416",73,54.79,36.99,8.22,-,-,39
"60QA000417",58,74.14,25.86,-,-,-,15
"60QA000418",44,25.00,52.27,20.45,2.27,-,44
"60QA000419",47,2.13,38.30,46.81,10.64,2.13,82
"60QA000420",44,77.27,20.45,-,-,2.27,13
"60QA000421",42,4.76,50.00,40.48,4.76,-,61
"60QA000422",41,31.71,53.66,14.63,-,-,34
"60QA000423",55,49.09,41.82,7.27,1.82,-,34
"60QA000424",39,2.56,41.03,46.15,10.26,-,64
"60QA000425",42,4.76,35.71,40.48,11.90,7.14,78
"60QA000426",45,8.89,28.89,46.67,11.11,4.44,78
"60QA000427",50,-,16.00,66.00,14.00,4.00,103
"60QA000428",58,27.59,60.34,8.62,3.45,-,51
"60QA000429",47,6.38,55.32,38.30,-,-,62
"60QA000430",46,8.70,41.30,45.65,4.35,-,67
"60QA000431",40,-,30.00,55.00,10.00,5.00,77
"60QA000432",32,-,25.00,53.13,15.63,6.25,65
"60QA000433",78,1.28,28.21,58.97,11.54,-,141
"60QA000434",61,-,26.23,52.46,19.67,1.64,120
"60QA000435",41,29.27,56.10,14.63,-,-,35
"60QA000436",46,23.91,50.00,19.57,6.52,-,50
"60QA000437",51,1.96,31.37,49.02,13.73,3.92,99
"60QA000438",55,10.91,49.09,29.09,9.09,1.82,78
"60QA000439",56,5.36,41.07,46.43,5.36,1.79,88
"60QA000440",56,21.43,62.50,14.29,1.79,-,54
"60QA000441",51,7.84,45.10,45.10,1.96,-,72
"60QA000442",60,5.00,33.33,55.00,3.33,3.33,101
"60QA000443",52,7.69,63.46,25.00,3.85,-,65
"60QA000444",57,5.26,33.33,50.88,7.02,3.51,97
"60QA000445",52,1.92,34.62,59.62,-,3.85,88
"60QA000446",33,3.03,21.21,51.52,12.12,12.12,75
"60QA000447",45,8.89,33.33,37.78,15.56,4.44,78
"60QA000448",66,13.64,33.33,50.00,3.03,-,94
"60QA000449",44,2.27,50.00,40.91,6.82,-,67
"60QA000450",33,33.33,42.42,15.15,9.09,-,33
"60QA000451",28,17.86,35.71,35.71,10.71,-,39
"60QA000452",46,32.61,60.87,6.52,-,-,34
"60QA000453",44,43.18,15.91,31.82,9.09,-,47
"60QA000454",49,8.16,20.41,51.02,16.33,4.08,92
"60QA000455",48,2.08,35.42,47.92,14.58,-,84
"60QA000456",55,1.82,38.18,40.00,12.73,7.27,103
"60QA000457",53,5.66,22.64,45.28,16.98,9.43,108
"60QA000458",42,9.52,28.57,50.00,11.90,-,69
"60QA000459",24,4.17,25.00,58.33,12.50,-,43
"60QA000460",43,60.47,34.88,4.65,-,-,19
"60QA000461",64,32.81,45.31,18.75,1.56,1.56,60
"60QA000462",40,27.50,47.50,22.50,2.50,-,40
"60QA000463",43,53.49,37.21,6.98,-,2.33,31
"60QA000464",42,64.29,30.95,4.76,-,-,17
"60QA000465",58,65.52,32.76,1.72,-,-,21
"60QA000466",33,75.76,24.24,-,-,-,8
"60QA000467",42,76.19,21.43,2.38,-,-,11
"60QA000468",71,69.01,30.99,-,-,-,22
"60QA000469",40,55.00,37.50,7.50,-,-,21
"60QA000470",60,65.00,33.33,1.67,-,-,22
